CH1;CH2;PPG
124.30735;112.15913;590.07043
124.31745;112.147545;590.06665
124.270226;112.14351;590.0645
124.11718;112.14232;590.06256
124.00546;112.144035;590.0564
124.03468;112.158676;590.0564
124.21818;112.15502;590.0568
124.31559;112.144325;590.05493
124.326584;112.142845;590.0518
124.29426;112.13212;590.05206
124.259186;112.1196;590.05035
124.234955;112.111374;590.0529
124.23081;112.11144;590.0561
124.219154;112.11519;590.06085
124.19247;112.10916;590.057
124.17638;112.100426;590.0545
124.174164;112.08603;590.052
124.181725;112.071365;590.0567
124.20084;112.068504;590.0537
124.19031;112.06936;590.0542
124.16582;112.07735;590.0525
124.15111;112.07256;590.05396
124.13092;112.06352;590.0524
124.15432;112.05541;590.0554
124.18413;112.05482;590.0501
124.193306;112.06212;590.0546
124.23208;112.06498;590.0542
124.25958;112.058784;590.05286
124.259514;112.04419;590.05585
124.206345;112.03518;590.0617
124.11544;112.03322;590.0593
124.015205;112.03961;590.0569
123.98343;112.04354;590.05914
124.03424;112.04734;590.0615
124.12917;112.04514;590.0618
124.180595;112.03324;590.0629
124.2065;112.023254;590.0623
124.20311;112.00475;590.0649
124.188896;112.004135;590.0706
124.17254;112.011215;590.0697
124.18778;112.01279;590.0706
124.19996;112.020706;590.0696
124.154236;112.035126;590.07184
124.09804;112.03522;590.07477
124.11837;112.02857;590.0784
124.170135;112.01684;590.0818
124.20539;112.01045;590.0855
124.178406;112.0116;590.08344
124.14114;112.01643;590.0843
124.13319;112.012566;590.08636
124.11534;112.002075;590.08704
124.14388;112.00079;590.0853
124.18179;111.995316;590.08856
124.15497;111.99369;590.095
124.105545;111.995575;590.09283
124.11556;111.9898;590.1069
124.15938;111.97684;590.09924
124.15349;111.96654;590.0894
124.07992;111.97088;590.0919
124.05786;111.96265;590.093
124.07996;111.94789;590.0937
124.08774;111.94312;590.09406
124.12917;111.94696;590.0937
124.151085;111.95757;590.09283
124.115845;111.96822;590.09283
123.98242;111.98596;590.09106
123.93169;111.98267;590.0908
124.10538;111.97688;590.09186
124.201294;111.97374;590.0889
124.2114;111.970276;590.08984
124.18947;111.96556;590.092
124.15442;111.97464;590.0908
124.122665;111.988655;590.08844
124.08459;112.00056;590.088
124.08397;111.99522;590.08746
124.19013;111.99026;590.0845
124.2573;111.984436;590.08167
124.24027;111.99789;590.0804
124.152176;112.012314;590.08124
124.08416;112.0212;590.0821
124.12655;112.02061;590.0781
124.20998;112.01529;590.0744
124.229065;112.02445;590.07294
124.18918;112.03555;590.07135
124.17285;112.03954;590.0685
124.19056;112.02755;590.06885
124.1893;112.02297;590.0696
124.16677;112.02828;590.0689
124.14872;112.03312;590.06885
124.16532;112.02853;590.066
124.23167;112.03455;590.0602
124.26045;112.04438;590.05597
124.2033;112.046646;590.05457
124.09567;112.04879;590.0508
124.08061;112.04986;590.049
124.17838;112.0405;590.0484
124.24163;112.03043;590.04706
124.22775;112.02084;590.0435
124.18928;112.03581;590.0391
124.19006;112.0542;590.03595
124.22728;112.0681;590.03406
124.21588;112.07316;590.0319
124.18449;112.06903;590.03107
124.20027;112.05349;590.0288
124.23949;112.02588;590.02814
124.185295;112.01023;590.02563
124.146675;112.015785;590.0233
124.18269;112.031456;590.02045
124.232765;112.051;590.0207
124.26392;112.060524;590.02094
124.268196;112.05863;590.0194
124.244255;112.05696;590.0083
124.20146;112.04734;590.0061
124.142006;112.05229;590.0079
124.12408;112.06216;590.0068
124.14407;112.07325;589.998
124.14296;112.07682;589.9962
124.157524;112.067024;589.9943
124.26929;112.0516;589.99536
124.291176;112.04702;589.9909
124.24047;112.05396;589.9838
124.21377;112.058784;589.98486
124.21503;112.05463;589.9812
124.23244;112.05523;589.9787
124.25968;112.069885;589.9795
124.23014;112.07096;589.97974
124.15793;112.06929;589.977
124.12307;112.078255;589.97217
124.18358;112.08717;589.97095
124.28002;112.085625;589.9724
124.30818;112.08198;589.9688
124.22869;112.08043;589.9638
124.18651;112.09099;589.9585
124.215866;112.08984;589.963
124.238846;112.0948;589.9688
124.26057;112.12026;589.963
124.23114;112.12248;589.9524
124.21927;112.119;589.9474
124.266525;112.12437;589.94476
124.27263;112.12897;589.9417
124.244736;112.13505;589.94556
124.22676;112.13319;589.9413
124.231026;112.14244;589.9318
124.25642;112.14416;589.9265
124.275894;112.13664;589.93005
124.27821;112.143776;589.934
124.33095;112.146706;589.9267
124.36597;112.142265;589.9216
124.345375;112.15494;589.9158
124.2727;112.1783;589.9129
124.1878;112.19325;589.9108
124.23627;112.19475;589.9128
124.31975;112.19577;589.9122
124.35863;112.20023;589.9068
124.36323;112.19376;589.9071
124.348854;112.17915;589.9098
124.34923;112.18063;589.9001
124.37317;112.203926;589.8984
124.35849;112.220924;589.895
124.28698;112.22767;589.88983
124.289604;112.23375;589.88763
124.29769;112.23414;589.8808
124.35136;112.232796;589.87775
124.43123;112.24281;589.87415
124.45362;112.25919;589.8739
124.43659;112.26973;589.871
124.41992;112.270615;589.86835
124.42377;112.27829;589.865
124.41227;112.27791;589.86707
124.42591;112.28501;589.86444
124.43904;112.29807;589.8628
124.44412;112.312645;589.86273
124.45335;112.32414;589.8568
124.441666;112.33065;589.8534
124.42314;112.34717;589.85187
124.41556;112.36266;589.84607
124.376724;112.36617;589.84174
124.407265;112.35158;589.83997
124.466156;112.34996;589.84
124.508644;112.33716;589.84045
124.52261;112.3378;589.8342
124.49803;112.34016;589.8318
124.46069;112.34712;589.8306
124.48685;112.34772;589.8263
124.54984;112.34352;589.82355
